№;ID;СТАТУС;СЧЁТ-ФАКТУРА;ТИП ЭСФ;ДОГОВОР;ПРОДАВЕЦ (ИНН ИЛИ ПИНФЛ);ПРОДАВЕЦ (НАИМЕНОВАНИЕ);ПРОДАВЕЦ (КОД ФИЛИАЛА);ПРОДАВЕЦ (НАЗВАНИЕ ФИЛИАЛА);ПОКУПАТЕЛЬ (ИНН ИЛИ ПИНФЛ);ПОКУПАТЕЛЬ (НАИМЕНОВАНИЕ);ПОКУПАТЕЛЬ (КОД ФИЛИАЛА);ПОКУПАТЕЛЬ (НАЗВАНИЕ ФИЛИАЛА);СУММА К ОПЛАТЕ;ПРИМЕЧАНИЕ
23;6427e559867a8ea492c3b616;Подтверждён;380 от 01.04.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;445980,87;
24;640ecb67247b0959fadb4c1c;Отменено;275 от 13.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;289999,79;
25;64088d3f9831a979f573cf1a;Подтверждён;256 от 08.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;351199,96;
26;640a125cce76cba2e656b025;Подтверждён;260 от 09.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;511499,87;
27;6406eb6c98239ac6b4f08c55;Подтверждён;242 от 07.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;826559,75;
28;6403861d2b7cfa4f8a5849a0;Подтверждён;236 от 03.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;217695,97;
29;640387a0b62eec67a4c19b76;Подтверждён;237 от 04.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;508851,16;
30;64059cc6b940330a09932753;Подтверждён;241 от 06.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;990999,75;
31;6400bea5d2271fbdbf0ce489;Подтверждён;230 от 02.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;392417,54;
32;63ff6b377d20d054589fc65b;Подтверждён;223 от 01.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;789647,95;
33;63fcc91f952b69e09b145b36;Подтверждён;195 от 27.02.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;1262480,61;
34;63f5f645c811c694b090d33b;Подтверждён;173 от 21.02.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;725088;
35;63f5f77eb44f480bd9f9fc59;Подтверждён;174 от 22.02.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;677801,6;
36;63f77772dd552e763d51883a;Подтверждён;180 от 23.02.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;309120;
37;63f8d23bcf1315402ad92b6a;Подтверждён;181 от 24.02.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;888160;
38;63f98ab4b964a05cc8d71cfa;Подтверждён;190 от 25.02.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;593600;
